sample,date,group,gender,religion,age,firstName,lastName,email,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08,QC09,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,QC21,QC22,QC23,QC24,QC25,__version__,_version_,_id,_uuid,_index
2,2017-08-26,group1,male,Hair,16,Steve,Harrington,SteveHarrington@test.com,8,8,4,3,6,6,8,5,7,5,6,5,8,5,4,6,4,6,5,6,5,2,5,6,8,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be60,1
3,2017-11-26,group1,male,Hair,16,Steve,Harrington,SteveHarrington@test.com,8,8,5,5,7,6,8,6,8,5,6,6,7,6,5,7,5,8,6,7,5,5,5,7,8,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be61,1
1,2017-08-24,group1,male,DND,10,Dustin,Henderson,DustinHenderson@test.com,2,3,6,5,6,2,2,4,6,4,2,3,1,4,5,2,7,3,2,7,6,7,6,3,2,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be62,1
2,2017-08-26,group1,male,DND,10,Dustin,Henderson,DustinHenderson@test.com,5,5,6,5,7,4,5,4,6,4,5,6,6,5,6,5,7,5,4,7,6,7,6,8,5,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be63,1
3,2017-11-26,group1,male,DND,11,Dustin,Henderson,DustinHenderson@test.com,6,6,7,6,7,5,5,5,7,6,4,5,5,5,6,6,7,5,5,7,6,7,6,7,5,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be64,1
1,2017-08-24,group1,male,DND,10,Mike,Wheeler,MikeWheeler@test.com,2,2,2,7,5,2,2,2,2,4,2,2,2,2,6,1,8,2,6,3,4,4,1,2,1,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be65,1
2,2017-08-26,group1,male,DND,10,Mike,Wheeler,MikeWheeler@test.com,4,5,6,7,5,5,6,6,6,5,5,6,7,7,6,5,8,5,6,7,8,4,7,7,3,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be66,1
3,2017-11-26,group1,male,DND,11,Mike,Wheeler,MikeWheeler@test.com,5,6,5,7,6,6,5,6,7,8,6,7,6,6,6,5,8,4,6,6,7,7,8,6,4,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be67,1
1,2017-08-24,group1,male,DND,10,Luke,Sinclair,LukeSinclair@test.com,5,6,4,3,5,3,3,4,4,3,4,4,5,3,5,5,3,5,5,3,6,5,5,4,3,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be68,1
2,2017-08-26,group1,male,DND,10,Luke,Sinclair,LukeSinclair@test.com,5,7,5,5,6,7,6,4,7,5,5,5,6,6,5,5,5,7,6,6,6,5,5,6,5,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be69,1
3,2017-11-26,group1,male,DND,10,Luke,Sinclair,LukeSinclair@test.com,5,7,5,5,6,7,6,4,8,6,5,5,6,6,5,5,5,8,6,6,6,6,6,7,5,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be70,1
